	1	2	3	4	5	6	7	8	9
DDX11L1	0	0	0	0	0	0	0	0	0
WASH7P	1	0	3	4	1	1	2	2	2
MIR6859-1	0	4	0	0	2	1	0	1	2
MIR1302-2HG	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0
AL627309.1	0	0	0	1	1	1	0	0	0
AL627309.3	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	0	0	0	0	0	0
AL627309.6	0	0	0	0	2	0	0	1	0
AL627309.7	1	0	0	0	0	0	0	0	2
AL627309.2	0	0	0	0	0	0	0	0	0
AL627309.5	0	0	1	1	5	1	1	0	1
RNU6-1100P	0	0	0	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0	0	0	0
FO538757.1	1	0	0	1	1	3	0	0	0
WASH9P	26	16	32	23	42	24	28	12	26
MIR6859-2	0	0	0	0	0	0	0	0	0
AP006222.1	2	2	0	8	3	6	5	6	6
RPL23AP24	0	0	0	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0	0	0	0
AL732372.2	6	3	3	7	1	1	1	1	3
WBP1LP7	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0
AL732372.3	0	0	0	0	0	0	0	0	0
RF00026	0	0	0	0	0	0	0	0	2
AL669831.3	4	2	4	4	1	2	2	4	0
AC114498.1	0	0	0	0	0	0	0	0	0
MTND1P23	7	11	11	8	9	7	7	9	2
MTND2P28	1066	981	1023	1056	1267	956	1140	973	915
MTCO1P12	240	199	205	239	185	173	7433	6138	5611
MIR6723	0	0	0	0	0	0	0	0	0
MTCO2P12	7	7	7	6	11	6	6	6	8
MTATP8P1	0	0	0	0	1	0	0	0	0
MTATP6P1	9177	8955	8823	10238	11854	8382	8454	7410	6204
MTCO3P12	144	99	119	3	9	2	3	5	4
WBP1LP6	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0
CICP3	0	0	0	0	0	0	0	0	0
AL669831.1	25	13	25	15	22	28	37	22	28
RNU6-1199P	0	0	0	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0	0	0	0
AL669831.5	0	1	4	2	4	1	4	0	3
AL669831.7	0	0	0	0	0	0	0	0	0
AL669831.4	0	0	1	1	1	0	0	0	0
FAM87B	3	3	3	2	5	1	1	2	0
LINC01128	321	247	323	255	355	305	330	302	294
LINC00115	7	4	20	10	6	4	5	3	6
FAM41C	0	0	0	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0	0	0	0
AL669831.6	0	0	0	0	0	0	0	0	0
AL645608.6	17	14	10	16	11	13	22	22	11
AL645608.2	29	26	10	36	26	19	93	93	36
AL645608.4	1	0	0	0	0	0	2	0	0
LINC02593	306	218	88	280	330	153	387	282	124
SAMD11	1518	1247	510	1187	1799	806	2739	2607	1439
NOC2L	2146	1981	2146	1933	2402	2230	1898	1730	2259
KLHL17	192	196	189	167	249	201	257	239	188
PLEKHN1	2	3	1	5	12	5	8	3	5
PERM1	0	2	3	2	3	0	1	0	1
AL645608.7	16	13	36	12	9	28	12	10	34
HES4	97	82	159	70	50	94	126	140	195
ISG15	1132	1387	4898	351	443	858	318	268	753
AL645608.3	0	0	0	0	0	0	0	0	0
AL645608.1	0	0	0	1	0	0	0	0	1
AGRN	16969	15221	19600	12110	12881	9766	18501	15146	13268
AL645608.5	0	0	0	0	0	0	0	0	0
AL390719.1	55	55	72	42	38	45	32	22	43
AL645608.8	2	0	0	0	0	1	1	0	0
RNF223	0	0	0	0	0	0	0	1	0
C1orf159	163	155	206	185	243	247	192	183	262
AL390719.3	0	0	0	0	0	0	0	0	0
LINC01342	0	0	0	0	0	0	0	0	1
MIR200B	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	1	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0
TNFRSF18	1	1	1	1	0	3	0	0	0
TNFRSF4	1	0	0	0	0	0	0	0	1
SDF4	6869	5933	6214	5599	6052	5093	5430	5059	4829
B3GALT6	1307	1062	1032	1235	1304	1132	970	956	823
C1QTNF12	8	6	5	9	7	10	5	10	10
AL162741.1	0	0	5	1	3	3	0	2	4
UBE2J2	888	742	977	840	913	993	904	915	1063
LINC01786	4	3	6	5	7	5	8	8	3
SCNN1D	31	30	31	44	38	31	51	58	43
ACAP3	886	861	863	915	1134	1034	1220	1197	995
MIR6726	0	0	0	0	0	0	0	0	0
PUSL1	253	265	322	245	303	316	281	246	352
INTS11	1434	1241	1529	1466	1703	1583	1394	1334	1504
MIR6727	0	0	0	0	0	0	0	0	0
AL139287.1	2	10	7	17	13	16	10	11	11
CPTP	691	613	780	473	667	644	745	672	831
TAS1R3	12	3	8	7	6	17	12	9	12
DVL1	1467	1422	1541	1245	1465	1512	1429	1330	1480
MIR6808	0	0	0	0	0	0	0	0	0
MXRA8	1666	1519	1088	4784	4955	2897	3121	2358	1356
AURKAIP1	1099	1139	1126	914	1211	1088	1076	1185	1073
NDUFB4P8	0	0	0	0	0	0	0	0	0
CCNL2	881	901	957	924	1014	917	1281	1100	1004
MRPL20-AS1	528	467	520	474	495	463	468	487	419
MRPL20	1290	1254	1177	1117	1319	1093	1187	1108	1100
RN7SL657P	0	0	0	0	0	0	0	0	0
AL391244.2	35	32	33	26	35	34	25	35	32
ANKRD65	22	28	23	22	28	7	11	8	12
AL391244.1	1	0	0	0	0	0	0	0	0
TMEM88B	0	0	1	0	0	0	2	0	0
LINC01770	9	13	4	8	8	7	12	5	6
VWA1	2797	2368	2386	1672	1621	1120	2515	2064	1501
ATAD3C	9	3	3	0	3	0	4	7	3
ATAD3B	103	169	231	192	216	263	217	245	284
AL645728.2	10	4	6	10	7	3	3	3	5
ATAD3A	657	763	828	619	846	791	633	730	872
TMEM240	118	124	142	105	137	156	125	105	135
SSU72	2439	2130	2377	2187	2670	2329	2335	2301	2545
AL645728.1	19	16	15	22	30	18	6	12	8
AL691432.3	0	0	0	0	0	0	0	0	0
FNDC10	459	450	404	662	686	487	429	313	251
AL691432.2	289	189	155	286	257	197	308	286	236
MIB2	715	676	764	725	845	742	814	749	844
MMP23B	0	0	2	1	2	1	2	0	1
CDK11B	761	750	900	594	756	742	787	823	976
FO704657.1	2	0	2	5	1	1	7	1	4
SLC35E2B	1845	1540	1685	1165	1291	1163	2018	1782	2137
AL691432.1	0	1	0	0	3	0	0	0	1
MMP23A	0	0	0	0	1	0	1	0	0
CDK11A	7	7	7	14	15	15	15	14	17
AL031282.2	21	26	21	25	21	19	39	27	24
AL031282.1	4	2	2	3	1	1	4	1	2
SLC35E2A	232	212	182	650	735	663	253	190	165
NADK	1698	1446	2055	1622	1833	1836	1683	1520	1901
GNB1	24112	20337	21456	18908	21762	19785	23740	21439	23577
AL109917.1	20	24	20	10	15	11	31	25	13
CALML6	1	1	1	2	1	0	3	1	2
TMEM52	5	7	9	4	11	4	8	6	10
CFAP74	9	6	3	8	3	3	1	2	1
AL391845.2	0	0	0	0	2	1	0	0	0
GABRD	1	0	0	0	0	0	0	0	1
AL391845.1	0	0	0	0	0	0	0	0	0
PRKCZ	960	784	695	589	661	500	983	796	615
AL590822.2	0	0	0	0	0	0	0	0	1
PRKCZ-AS1	79	60	56	54	67	87	76	80	126
FAAP20	1150	1077	1252	951	1105	1090	977	950	949
AL590822.1	0	0	0	0	0	0	0	0	0
SKI	3325	2676	2667	3598	4172	3548	4002	3787	3997
MORN1	99	84	102	100	105	109	72	97	99
AL589739.1	0	0	0	0	0	0	1	0	1
AL513477.1	59	49	74	41	44	41	31	23	23
AL513477.2	1	1	1	1	3	3	1	0	1
RER1	2519	2372	3050	2435	2648	2824	2626	2433	3097
PEX10	1770	1624	1562	1440	1701	1572	1730	1660	1617
PLCH2	1	1	1	2	3	1	3	7	5
AL139246.1	0	0	0	0	0	3	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0
PANK4	501	451	553	508	575	628	633	571	648
HES5	25	20	68	7	9	3	132	124	102
AL139246.5	0	0	0	0	0	1	0	0	0
TNFRSF14-AS1	1	0	0	0	0	0	0	0	0
TNFRSF14	75	51	176	37	44	63	15	26	64
AL139246.2	0	0	0	0	0	0	0	0	0
AL139246.3	0	0	2	1	2	0	0	0	1
PRXL2B	1171	1068	1223	1339	1624	1595	1357	1245	1539
MMEL1	44	28	35	55	53	31	55	45	36
AL831784.1	0	0	0	0	0	0	0	0	0
TTC34	5	7	5	6	8	8	7	8	9
AC242022.2	0	0	0	0	0	0	0	0	0
AC242022.1	0	0	0	1	0	0	0	0	0
AL592464.2	0	0	0	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0
LINC00982	100	73	45	63	137	50	214	196	102
PRDM16	577	433	464	632	701	680	1106	927	991
MIR4251	0	0	0	0	0	0	0	1	0
AL008733.1	0	0	0	0	0	0	0	0	0
AL512383.1	0	0	0	0	0	0	0	0	0
AL590438.1	6	3	2	0	4	7	8	7	5
ARHGEF16	4	5	13	5	5	17	21	16	35
AL512413.1	0	0	0	0	0	0	0	0	0
MEGF6	423	599	1055	199	247	182	149	99	100
MIR551A	0	0	0	0	0	0	0	0	0
AL513320.1	1	5	0	1	2	0	1	2	0
TPRG1L	1209	1008	1081	976	1071	885	981	795	853
WRAP73	243	261	322	254	339	372	286	263	323
TP73	4	7	32	9	12	34	11	15	47
AL136528.1	0	0	0	0	0	0	0	0	0
AL136528.2	0	0	0	0	0	0	0	0	0
TP73-AS1	1083	993	982	1004	1270	1159	1166	1076	1176
RF02197	0	0	0	0	0	0	0	0	0
CCDC27	0	0	1	0	0	0	0	0	0
SMIM1	17	7	3	6	10	5	14	15	9
LRRC47	1295	1054	1304	1139	1410	1199	1289	1164	1344
RN7SL574P	0	0	0	0	0	1	0	0	1
AL365330.1	1	1	1	1	2	1	1	4	0
CEP104	751	608	608	793	808	793	981	879	895
DFFB	98	95	100	113	141	127	123	102	132
C1orf174	261	305	377	339	423	427	334	308	428
LINC01134	5	4	2	4	3	1	2	4	4
LINC01346	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0
AL805961.1	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0
LINC01777	0	0	1	2	2	0	3	2	0
AL355602.1	0	0	0	0	0	0	0	0	0
Z98747.1	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0
AJAP1	477	350	283	707	638	470	205	187	142
BX005132.2	0	0	0	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0	0	0	0
AL691497.1	0	0	0	0	0	0	0	0	0
AL139823.1	0	0	0	0	0	0	0	0	0
Z98259.3	0	1	0	0	1	0	0	0	0
Z98259.2	0	0	0	0	0	0	0	0	0
Z98259.1	0	0	0	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0	0	0	0
AL365255.1	0	2	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0
NPHP4	268	240	284	259	324	309	305	256	317
KCNAB2	424	386	431	300	437	395	537	432	483
CHD5	1423	1244	911	551	811	585	1483	1370	902
AL031847.2	0	1	0	1	0	0	0	0	0
RPL22	2210	2003	1756	2209	2060	1768	2019	1686	1600
AL031847.1	4	6	1	1	2	3	2	2	2
RNF207	49	28	41	18	31	19	29	28	15
ICMT	2700	2812	3405	2768	3745	4029	2564	2948	4031
LINC00337	0	5	12	1	5	12	2	4	9
HES3	0	0	0	0	0	0	0	0	0
GPR153	802	598	873	294	285	331	788	824	1037
ACOT7	1705	1814	2211	1584	1940	2113	1073	1118	1630
AL031848.2	4	2	9	4	0	0	1	3	3
HES2	27	32	100	19	13	10	6	1	6
ESPN	128	127	352	19	35	30	27	18	22
MIR4252	0	0	0	0	0	0	0	0	0
AL031848.1	0	0	0	0	0	0	0	0	0
TNFRSF25	99	79	91	123	125	81	120	107	87
PLEKHG5	846	668	706	825	869	629	700	607	457
NOL9	328	310	313	321	336	295	275	296	314
RNU6-731P	0	0	0	0	0	0	0	0	0
AL591866.1	0	0	0	0	0	0	0	0	0
TAS1R1	2	1	1	0	1	1	2	2	0
ZBTB48	290	289	356	277	320	322	271	298	412
KLHL21	1291	1104	1148	1120	1090	965	1747	1255	1177
PHF13	854	787	1151	835	964	1173	809	799	1357
THAP3	395	375	452	304	344	321	399	276	416
DNAJC11	1463	1325	1297	1269	1642	1354	1549	1353	1381
LINC01672	0	0	0	1	0	0	0	0	0
AL591163.1	0	0	0	0	0	0	0	0	0
CAMTA1-DT	4	3	2	3	4	1	1	4	4
CAMTA1	976	909	1065	958	1145	1053	1240	1262	1315
AL590128.1	0	0	0	0	0	0	0	0	0
AL512330.1	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	0	3	3	0	2	0	1	3	1
Z97987.1	0	0	0	0	0	0	0	0	0
AL365194.1	0	0	0	0	0	0	0	0	0
AL359881.3	3	3	3	2	0	2	3	3	2
AL359881.2	2	3	0	0	0	4	4	1	2
AL359881.1	1	0	0	1	1	0	2	3	1
VAMP3	3090	2808	3138	3871	3949	3621	2844	2547	3005
Z98884.2	0	0	3	4	4	1	3	1	1
PER3	927	813	909	672	713	668	1061	813	998
Z98884.1	0	0	0	1	0	0	0	0	0
UTS2	0	0	0	0	0	2	1	1	1
TNFRSF9	64	51	274	36	35	136	13	13	121
AL009183.1	0	0	0	0	0	0	0	0	0
PARK7	4694	4409	5266	4459	5083	5209	4467	4527	5523
RF00019	27	31	31	44	31	24	45	39	30
AL034417.4	1	0	1	4	1	5	0	0	1
AL034417.3	0	0	0	0	0	0	0	0	0
ERRFI1	6318	5012	5288	6296	6019	8015	4001	4048	7004
AL034417.2	2	1	2	1	2	2	4	0	3
AL034417.1	1	0	0	0	0	0	0	0	1
AL358876.1	0	0	0	0	0	0	0	0	0
LINC01714	0	0	0	0	0	0	0	0	1
RNU1-7P	0	0	0	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0
SLC45A1	439	359	280	293	317	269	319	243	212
RERE	6037	4414	4390	6258	6950	6356	5998	5391	6853
RERE-AS1	5	3	4	1	1	0	0	2	2
RF00599	0	0	0	0	0	0	0	0	0
AL096855.1	0	0	0	0	0	0	0	0	0
RPL7P11	0	0	0	0	0	0	0	0	0
RPL7P7	0	0	0	0	0	0	0	0	0
AL357552.1	0	0	0	0	0	0	0	0	0
AL357552.2	0	0	0	0	0	0	0	0	0
RPL23AP19	0	0	0	0	0	0	0	0	1
ENO1	53216	48840	56419	34675	41975	49292	34007	33392	47428
MIR6728	0	0	1	0	0	1	0	0	0
ENO1-AS1	1	6	5	7	4	4	7	6	2
RNU6-304P	0	0	0	0	0	0	0	0	0
HMGN2P17	0	0	1	0	0	0	0	1	0
AL139415.1	0	0	0	0	0	0	0	0	0
AL139415.2	0	0	0	0	0	0	0	0	0
CA6	0	0	1	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0
SLC2A5	70	63	169	13	30	27	51	29	51
RF00424	0	0	0	0	0	0	0	0	0
GPR157	207	170	174	149	146	134	103	92	94
MIR34AHG	100	68	63	57	90	64	108	70	69
MIR34A	0	0	0	0	0	0	0	0	0
LNCTAM34A	108	77	76	54	62	65	97	54	40
H6PD	3275	2658	2750	2993	3178	2926	1996	1736	1974
SPSB1	376	399	855	210	229	315	223	214	490
BX323043.1	28	9	23	17	14	18	20	11	11
LINC02606	197	135	150	159	154	114	140	112	112
RNA5SP40	0	0	0	0	0	0	0	0	0
AL928921.1	0	0	0	0	0	0	0	0	0
SLC25A33	349	337	352	298	342	266	399	400	418
AL954705.1	3	2	1	1	1	1	1	0	0
TMEM201	1173	1062	1356	866	1082	1140	1257	1136	1225
PIK3CD	523	557	661	504	528	478	454	397	417
PIK3CD-AS1	0	0	0	0	0	0	0	0	0
AL691449.1	0	0	0	0	0	0	0	0	0
PIK3CD-AS2	97	72	122	97	142	136	83	71	60
CLSTN1	18461	15207	15567	18632	20717	18992	18500	15925	18536
MZT1P1	0	0	0	0	0	0	0	0	0
AL357140.3	0	0	0	1	0	0	0	0	0
CTNNBIP1	2091	1965	1583	2030	2462	1995	3299	2893	2812
AL357140.1	0	0	0	0	0	0	0	0	2
AL357140.5	0	0	0	0	0	0	0	0	0
LZIC	756	683	801	794	823	1015	905	866	1182
AL357140.2	3	1	1	2	3	1	1	2	5
NMNAT1	356	326	317	357	428	342	413	344	371
RN7SKP269	0	2	0	1	0	0	2	0	2
AL357140.4	0	1	0	0	0	1	0	0	0
MIR5697	0	0	0	0	0	0	0	0	0
