	Length
A1BG	4006
A1BG-AS1	2793
A1CF	9603
A2M	6384
A2M-AS1	2816
A2ML1	7303
A2ML1-AS1	452
A2ML1-AS2	386
A2MP1	4657
A3GALT2	1023
A4GALT	3407
A4GNT	1771
AA06	632
AAAS	4138
AACS	16094
AACSP1	3380
AADAC	1668
AADACL2	5071
AADACL2-AS1	635
AADACL3	4049
AADACL4	1575
AADACP1	2012
AADAT	2981
AAGAB	3833
AAK1	23608
AAMDC	1943
AAMP	3140
AANAT	2190
AAR2	3101
AARD	2412
AARS	4498
AARS2	4298
AARSD1	3704
AARSP1	453
AASDH	4654
AASDHPPT	6183
AASS	4591
AATBC	4874
AATF	4714
AATK	6225
AB015752.1	578
ABALON	1903
ABAT	9744
ABBA01000935.2	838
ABBA01006766.1	169
ABCA1	11350
ABCA10	8405
ABCA11P	2790
ABCA12	9416
ABCA13	19074
ABCA17P	6574
ABCA2	11514
ABCA3	7804
ABCA4	8530
ABCA5	13158
ABCA6	14151
ABCA7	8367
ABCA8	11243
ABCA9	9139
ABCA9-AS1	2990
ABCB1	5806
ABCB10	4256
ABCB10P1	2181
ABCB10P3	2166
ABCB10P4	2184
ABCB11	7715
ABCB4	7727
ABCB5	9257
ABCB6	5234
ABCB7	4671
ABCB8	9336
ABCB9	13291
ABCC1	7575
ABCC10	8083
ABCC11	7245
ABCC12	8699
ABCC13	10722
ABCC2	7837
ABCC3	9614
ABCC4	8635
ABCC5	11441
ABCC5-AS1	469
ABCC6	7569
ABCC6P1	3431
ABCC6P2	1077
ABCC8	12588
ABCC9	11616
ABCD1	4233
ABCD1P2	1601
ABCD1P3	605
ABCD1P4	604
ABCD1P5	754
ABCD2	6238
ABCD3	7589
ABCD4	8769
ABCE1	6265
ABCF1	4523
ABCF2	4448
ABCF2P1	1867
ABCF2P2	296
ABCF3	5207
ABCG1	6121
ABCG2	5044
ABCG4	6271
ABCG5	3720
ABCG8	10185
ABHD1	4630
ABHD10	3021
ABHD11	2289
ABHD11-AS1	662
ABHD12	3429
ABHD12B	4444
ABHD13	5338
ABHD14A	2378
ABHD14A-ACY1	4761
ABHD14B	3161
ABHD15	3592
ABHD15-AS1	187
ABHD16A	4153
ABHD16B	1491
ABHD17A	6139
ABHD17AP1	933
ABHD17AP3	1137
ABHD17AP4	909
ABHD17AP5	923
ABHD17AP6	1044
ABHD17AP7	595
ABHD17AP8	574
ABHD17AP9	548
ABHD17B	2959
ABHD17C	3627
ABHD18	6707
ABHD2	10345
ABHD3	4366
ABHD4	4070
ABHD5	7549
ABHD6	3589
ABHD8	2210
ABI1	4218
ABI1P1	1120
ABI2	23331
ABI3	2456
ABI3BP	10978
ABL1	6276
ABL2	13257
ABLIM1	10039
ABLIM2	6049
ABLIM3	7225
ABO	6359
ABR	12426
ABRA	2755
ABRACL	1200
ABRAXAS1	7777
ABRAXAS2	2992
ABT1	2949
ABT1P1	821
ABTB1	6149
ABTB2	4973
AC000032.1	491
AC000035.1	343
AC000036.1	2030
AC000041.1	175
AC000058.1	536
AC000061.1	376
AC000067.1	287
AC000068.1	2097
AC000068.2	460
AC000068.3	427
AC000077.1	953
AC000078.1	682
AC000081.1	297
AC000089.1	801
AC000093.1	4669
AC000095.1	874
AC000095.2	154
AC000099.1	1912
AC000111.1	210
AC000111.2	193
AC000120.1	1589
AC000120.2	4001
AC000120.3	2642
AC000123.1	516
AC000123.2	461
AC000123.3	4975
AC000124.1	957
AC000362.1	425
AC000367.1	1766
AC000372.1	646
AC000374.1	1745
AC000403.1	3585
AC001226.1	539
AC001226.2	6145
AC002044.1	158
AC002044.2	970
AC002044.3	541
AC002056.1	760
AC002056.2	284
AC002059.1	477
AC002059.2	1648
AC002064.1	733
AC002064.2	289
AC002064.3	346
AC002066.1	1213
AC002069.1	1159
AC002069.2	883
AC002070.1	1013
AC002074.1	1095
AC002074.2	680
AC002075.1	676
AC002075.2	252
AC002076.1	527
AC002076.2	122
AC002090.1	2138
AC002091.1	557
AC002091.2	402
AC002094.1	1050
AC002094.2	1121
AC002094.3	851
AC002094.4	307
AC002094.5	629
AC002101.1	1990
AC002115.1	568
AC002116.1	1130
AC002116.2	643
AC002127.1	225
AC002127.2	792
AC002128.1	1016
AC002128.2	618
AC002306.1	937
AC002310.1	1827
AC002310.2	1918
AC002310.3	723
AC002310.4	377
AC002310.5	1515
AC002310.6	1377
AC002347.1	541
AC002347.2	171
AC002350.1	1828
AC002351.1	594
AC002366.1	1190
AC002367.1	405
AC002368.1	388
AC002375.1	581
AC002378.1	298
AC002381.1	280
AC002383.1	671
AC002386.1	398
AC002398.1	427
AC002398.2	660
AC002400.1	726
AC002401.1	468
AC002401.2	430
AC002401.3	440
AC002401.4	583
AC002407.1	3863
AC002428.1	771
AC002428.2	414
AC002429.1	148
AC002429.2	4025
AC002451.1	1043
AC002451.2	2398
AC002454.1	667
AC002456.1	616
AC002456.2	380
AC002460.1	479
AC002463.1	1188
AC002464.1	1530
AC002465.1	349
AC002467.1	984
AC002470.1	395
AC002470.2	3442
AC002472.1	563
AC002472.2	958
AC002472.3	621
AC002472.4	272
AC002480.1	2432
AC002480.2	557
AC002486.1	391
AC002486.2	590
AC002487.1	994
AC002504.1	691
AC002511.1	1000
AC002511.2	450
AC002511.3	420
AC002519.1	2792
AC002519.2	1458
AC002524.1	547
AC002525.1	1622
AC002540.1	1349
AC002542.1	193
AC002543.1	1954
AC002545.1	181
AC002546.1	584
AC002550.1	1379
AC002550.2	394
AC002551.1	592
AC002553.1	802
AC002553.2	331
AC002558.1	803
AC002558.2	673
AC002558.3	1873
